,A,B,C,D
0,0.953271242,0,1.312584926,0.953271242
1,1.314652523,0,-0.478078877,1.314652523
2,-2.019134869,0,-1.413484851,-2.019134869
3,1.228971543,0,0.305057898,1.228971543
4,1.979531349,0,1.003318739,1.979531349
5,1.020216917,0,0.988119332,2.020216917
6,-0.260882475,0,0.475341642,-0.260882475
7,0.72192689,0,-0.501234236,0.72192689
8,-2.979168102,0,0.573022133,-2.979168102
9,-0.00150579,0,-0.948048363,-0.00150579
10,2.537761734,0,1.529892373,3.537761734
11,2.166924762,0,1.126723198,2.166924762
12,2.052718466,0,1.014114904,2.052718466
13,0.15972187,0,-0.116154337,1.15972187
14,1.450074191,0,0.261930714,3.450074191
15,2.18767199,0,0.269689689,2.18767199
16,-1.849073602,0,-2.856143312,-1.849073602
17,1.862179841,0,1.091008747,1.862179841
18,-0.191057149,0,-1.392262338,-0.191057149
19,2.23943703,0,1.226768684,2.23943703
20,-1.006570891,0,-1.032313665,-0.006570891
21,5.278400846,0,0.270965105,5.278400846
22,0.326210778,0,-1.778628434,0.326210778
23,1.441179187,0,0.237858542,2.441179187
24,3.725084374,0,2.368870962,3.725084374
25,1.209380529,0,1.415910365,1.209380529
26,0.476766919,0,0.10841706,1.476766919
27,-1.208023994,0,0.0373759,-1.208023994
28,1.256098125,0,-0.735458954,2.256098125
29,3.561044625,0,1.616949152,3.561044625
30,0.263364733,0,0.087616585,1.263364733
31,1.493275706,0,0.438366607,1.493275706
32,1.403678505,0,0.995956299,1.403678505
33,2.182141418,0,1.034282678,2.182141418
34,0.882844751,0,1.342381462,0.882844751
35,1.335865207,0,0.266225708,1.335865207
36,0.303779475,0,-0.894191366,2.303779475
37,2.478361094,0,1.382352689,2.478361094
38,0.304170044,0,-1.186158868,0.304170044
39,1.859734583,0,0.313019721,2.859734583
40,-1.1731287,0,-1.119742715,-1.1731287
41,4.025688878,0,2.124254515,5.025688878
42,-0.547815037,0,-0.009888434,0.452184963
43,2.25629844,0,1.21646791,2.25629844
44,-0.585647531,0,-1.171799824,-0.585647531
45,2.311439149,0,0.839809587,3.311439149
46,6.688034471,0,1.276881723,6.688034471
47,-0.200827558,0,0.252355224,-0.200827558
48,-2.05913164,0,-1.127794366,-1.05913164
49,2.121181883,0,1.137081658,2.121181883
50,0.389167902,0,-0.431133494,1.389167902
51,3.082723444,0,-0.003683819,3.082723444
52,0.135474663,0,-0.416505534,0.135474663
53,0.407217708,0,-0.679227173,1.407217708
54,1.128947569,0,-0.139934475,1.128947569
55,9.603208498,0,1.87523136,11.6032085
56,2.27616856,0,0.523680848,2.27616856
57,3.640696316,0,1.263344834,4.640696316
58,3.901189159,0,1.264158932,4.901189159
59,-1.326472061,0,-0.578225055,-0.326472061
60,2.426530392,0,1.863648382,2.426530392
61,0.219617733,0,-0.620139651,1.219617733
62,0.948346427,0,-0.126153915,0.948346427
63,4.044203118,0,1.942710542,4.044203118
64,-0.773361333,0,-1.728635033,0.226638667
65,1.844860253,0,1.518957527,1.844860253
66,-0.935281441,0,-0.00170768,0.064718559
67,-0.430527703,0,-0.096799691,0.569472297
68,0.865291569,0,0.208535605,1.865291569
69,0.761016028,0,1.391689361,0.761016028
70,-0.616601416,0,-0.793875591,-0.616601416
71,1.947296563,0,-0.104691197,2.947296563
72,-2.2300291,0,0.333549324,-2.2300291
73,1.507502039,0,0.964854962,1.507502039
74,3.271124945,0,0.690312128,3.271124945
75,0.797323252,0,0.344020257,0.797323252
76,3.167715524,0,1.708953035,3.167715524
77,4.257265538,0,2.767004585,5.257265538
78,0.931131185,0,0.063808707,1.931131185
79,1.379496815,0,0.591196686,2.379496815
80,2.04322422,0,-1.431459689,2.04322422
81,1.066951684,0,-0.247193405,2.066951684
82,2.89436643,0,1.776102654,2.89436643
83,1.621027293,0,-0.70512607,3.621027293
84,2.446324461,0,1.507001907,2.446324461
85,2.697502801,0,1.204506577,3.697502801
86,-2.558641759,0,3.02067981,-1.558641759
87,0.294483039,0,-0.307284617,0.294483039
88,0.467991454,0,1.411931475,1.467991454
89,0.201362253,0,-0.651505607,0.201362253
90,2.230880572,0,0.514983809,2.230880572
91,-1.563749531,0,1.165343868,-0.563749531
92,1.002772214,0,-0.873789391,2.002772214
93,2.198585897,0,1.026359534,4.198585897
94,1.842015362,0,1.066227669,3.842015362
95,1.603215331,0,0.913545003,2.603215331
96,2.944700409,0,-0.020012759,3.944700409
97,1.398322804,0,0.599314925,1.398322804
98,0.959814701,0,-0.243202509,0.959814701
99,2.79548542,0,1.183845996,2.79548542
